survey_abbrev,year
OTHER,1984
OTHER HS MSA,1984
OTHER,1986
OTHER HS MSA,1987
OTHER HS MSA,1989
OTHER,1989
OTHER HS MSA,1991
OTHER HS MSA,1993
OTHER,1994
OTHER HS MSA,1995
OTHER,1996
OTHER HS MSA,1996
OTHER,1997
OTHER HS MSA,1998
MSSM QCS,1999
OTHER HS MSA,2000
OTHER HS MSA,2002
OTHER HS MSA,2003
IPHC FISS,2003
OTHER,2003
MSSM QCS,2003
HBLL INS N,2003
MSSM WCVI,2003
SYN QCS,2003
SYN QCS,2004
SYN WCVI,2004
MSSM WCVI,2004
HBLL INS N,2004
MSSM QCS,2004
OTHER,2004
OTHER,2004
IPHC FISS,2004
IPHC FISS,2005
OTHER,2005
MSSM QCS,2005
MSSM WCVI,2005
OTHER,2005
HBLL INS S,2005
SYN HS,2005
SYN QCS,2005
SYN WCHG,2006
HBLL OUT N,2006
SYN WCVI,2006
MSSM WCVI,2006
SABLE INLET,2006
MSSM QCS,2006
OTHER,2006
OTHER,2006
IPHC FISS,2006
IPHC FISS,2007
OTHER,2007
OTHER,2007
MSSM QCS,2007
HBLL INS N,2007
SABLE RAND,2007
HBLL OUT S,2007
MSSM WCVI,2007
SYN HS,2007
SYN QCS,2007
SYN WCHG,2007
SYN WCHG,2008
SYN WCVI,2008
HBLL OUT N,2008
OTHER,2008
MSSM WCVI,2008
HBLL INS N,2008
MSSM QCS,2008
OTHER,2008
OTHER,2008
IPHC FISS,2008
IPHC FISS,2009
OTHER,2009
MSSM QCS,2009
MSSM WCVI,2009
HBLL OUT S,2009
HBLL INS S,2009
SYN HS,2009
SYN QCS,2009
SYN WCHG,2010
HBLL OUT N,2010
SYN WCVI,2010
MSSM WCVI,2010
MSSM QCS,2010
HBLL INS N,2010
OTHER,2010
OTHER,2010
IPHC FISS,2010
IPHC FISS,2011
OTHER,2011
MSSM QCS,2011
MSSM WCVI,2011
HBLL OUT S,2011
OTHER,2011
HBLL INS S,2011
SYN HS,2011
SYN QCS,2011
SYN WCHG,2012
HBLL OUT N,2012
SYN WCVI,2012
MSSM WCVI,2012
MSSM QCS,2012
HBLL INS N,2012
SYN SOG,2012
OTHER,2012
IPHC FISS,2012
MSSM QCS,2013
MSSM WCVI,2013
HBLL INS S,2013
SYN HS,2013
SYN QCS,2013
OTHER,2014
SYN WCVI,2014
MSSM WCVI,2014
HBLL OUT S,2014
IPHC FISS,2014
HBLL INS N,2014
MSSM WCVI,2015
SYN SOG,2015
IPHC FISS,2015
HBLL OUT N,2015
SYN HS,2015
HBLL INS S,2015
SYN QCS,2015
SYN WCHG,2016
SYN WCVI,2016
MSSM QCS,2016
IPHC FISS,2016
MSSM WCVI,2016
HBLL INS N,2016
HBLL OUT S,2016
MSSM WCVI,2017
HBLL OUT N,2017
IPHC FISS,2017
SYN HS,2017
SYN QCS,2017
SYN WCHG,2018
HBLL INS S,2018
MSSM WCVI,2018
SYN WCVI,2018
SYN HS,2019
SYN QCS,2019
